CNT_CODE,CURRENCY,EX_RATE,EX_AVG,SEARCH_VOL,
JP,JPY,895,950,8586938
CN,CNY,191,193,471672
VN,VND,6,6,1731905
TH,THB,39,39,1238627
PH,PHP,26,25,803244
HK,HKD,170,170,0
TW,TWD,47,47,2181095
MO,MOP,161,166,0
SG,SGD,993,992,1500803
MY,MYR,299,307,8281
ID,IDR,9,9,410768
KH,KHR,0.32,0.32,6154
TR,TRY,45,66,25642
IN,INR,16,17,0
MN,MNT,0.37,0.44,247366
MM,MMK,0.62,0.63,0
ES,EUR,1446,1442,67528
DE,EUR,1446,1442,0
GB,GBP,1676,1657,0
US,USD,1322,1330,136940
CA,CAD,979,987,0
MX,MXN,75,81,0
AU,AUD,877,885,0
NZ,NZD,819,817,0