ACCOM_NAME,SCORE
아바니 오클랜드 메트로폴리스 레지던스 (Avani Auckland Metropolis Residences),4.13
힐튼 오클랜드 (Hilton Auckland),3.33
Imagine Beach Road,4.0
이비스 버짓 오클랜드공항 (ibis Budget Auckland Airport),3.67
JetPark Hotel Auckland Airport,3.87
크라운 플라자 오클랜드 (Crowne Plaza Auckland),4.08
Swiss-Belsuites Victoria Park Auckland,4.07
나우미 호텔 오클랜드 에어포트 (Naumi Hotel Auckland Airport),3.93
SkyCity Hotel,4.07
그랜드 밀레니엄 오클랜드 (Grand Millennium Auckland),4.21
Garden Court Guest House,3.0
Komani Resorts,3.0
수디마 크라이스트처치 공항 (Sudima Christchurch Airport),4.4
크라이스트처치 시티 호텔 (Christchurch City Hotel),4.5
"샤토 온 더 파크 - 크라이스트처치, 어 더블 트리 바이 힐튼 (Chateau on the Park - Christchurch, a DoubleTree by Hilton)",4.0
브레이크프리 온 캐셀 크라이스트처치 (BreakFree on Cashel Christchurch),3.2
호텔 기브 (Hotel Give),4.07
이비스 크라이스트처치 (ibis Christchurch),4.08
센터 포인트 온 콜롬보 모텔 (CentrePoint on Colombo Motel),4.55
노보텔 크라이스트처치 에어포트 (Novotel Christchurch Airport),4.33
오크스 웰링턴 호텔 (Oaks Wellington Hotel),4.67
리지스 웰링턴 (Rydges Wellington),3.6
Rydges Wellington Airport,4.5
더 매리언 호스텔 (The Marion Hostel),4.4
이비스 웰링턴 (ibis Wellington),3.2
트래블로지 호텔  웰링톤 (Travelodge Hotel Wellington),3.5
Microtel by Wyndham Wellington,3.53
Naumi Hotel Wellington,4.33
호텔 워털루 앤 백패커 (Hotel Waterloo & Backpackers),3.0
윌리스 웰링턴 호텔 (Willis Wellington Hotel),3.8
타이페이 가든 호텔 (Taipei Garden Hotel),3.93
시저 메트로 타이베이 (Caesar Metro Taipei),3.42
코스모스 호텔 타이베이 메인 스테이션 (Cosmos Hotel Taipei Main Station),4.02
로더스 플러스 호텔 타이베이 스테이션 (Roaders Plus Hotel Taipei Station),4.3
호텔 참 참 - 타이베이 (HOTEL CHAM CHAM - Taipei),3.98
시저 파크 호텔 (Caesar Park Hotel),3.72
미라마 가든 호텔 (Miramar Garden Hotel),4.02
저스트 슬립 호텔 시먼딩 (Just Sleep Hotel Ximending),4.1
마예르 인 (Mayer Inn),3.86
더 클라우드 호텔 (The Cloud Hotel),4.04
Hotel YAM LAGOM,4.22
HOTEL YOSHI KAOHSIUNG,4.5
카인드네스 호텔 치서안 (Kindness Hotel Qixian),3.4
그리트 인 (GREET INN),4.43
에어라인 인 - 가오슝 스테이션 (Airline Inn - Kaohsiung Station ),4.57
inns hotel,4.23
스카이원 호텔 (Skyone Hotel),4.3
CU 호텔 가오슝 (CU Hotel Kaohsiung),3.8
레전드 호텔 피어 2 (Legend Hotel Pier 2),4.47
메시 호텔 (Meci Hotel),4.21
파크 시티 호텔 - 화롄 베케이션 (Park City Hotel - Hualien Vacation),4.0
TC HOTEL HUALIEN ZHONG XIAO,3.83
찬타이 호텔 (Chantai Hotel),1.75
저스트 슬립 화롄 종정 (Just Sleep Hotel Hualien Zhongzheng),4.4
레이크쇼 Hotel 화롄 (Lakeshore Hotel Hualien),4.17
코지 하우스 호스텔 (Cozy House Hostel),4.0
Lakeshore Hotel Hualien Taroko,4.0
스태리 인 (Starry Inn),3.0
글렌우드 비앤비 (Glenwood Bed and Breakfast),4.75
LakeShore Hotel Tainan,3.96
U.I.J Hotel&Hostel (UIJ),4.6
더 레트로 타이판 (The Retro Tai-Pan),4.47
웨이 얏 그랜드호텔 (Wei-Yat Grand Hotel),3.33
Oinn Hotel & Hostel,4.0
그랜드 반얀 호텔 (Grand Banyan Hotel),4.0
Provintia Hotel,4.31
창위 호텔 (CHANGYU HOTEL),3.71
오칵 호텔 (Ocak Hotel),4.02
인터콘티넨탈 베를린 (InterContinental Berlin),5.0
더 서커스 호스텔 (The Circus Hostel),4.42
에스트렐 호텔 (Estrel Hotel),3.33
Locke at East Side Gallery,4.6
셀렉트 호텔 베를린 더 월 (Select Hotel Berlin The Wall),4.07
파크 인 바이 래디슨 베를린 알렉산더플라츠 (Park Inn by Radisson Berlin Alexanderplatz),4.21
모비주 호텔 (Monbijou Hotel),4.45
호텔 아마노 그랜드 센트럴 (Hotel AMANO Grand Central),4.31
오칵 아파트먼트 앤 호텔 (Ocak Apartment & Hotel),3.2
호텔 유로파이세르 호프 (Hotel Europäischer Hof),3.58
Bayer 89 Vi Vadi Hotel,4.47
유료 유스 호텔 (Euro Youth Hotel),4.17
호텔 토르브라우 (Hotel Torbraeu),3.67
WunderLocke,3.9
슈어 호텔 바이 베스트웨스턴 뮌헨 하우프트반호프 (Sure Hotel by Best Western München Hauptbahnhof),3.61
"Flightgate Munich Airport Hotel, a member of Radisson Individuals",3.0
부티크 호텔 게르마니아 (Boutique Hotel Germania),3.4
mk 호텔 뮌헨 시티 (mk hotel muenchen city),3.89
플레밍 호텔 뮌헨 슈바빙 (Fleming's Hotel Munich Schwabing),4.0
부티크 053 함부르크 메인 스테이션 (Boutique 053 Hamburg Main Station),3.67
유로패에이스처 호프 (Europaeischer Hof),4.43
NYCE Hotel Hamburg City,5.0
루비 로티 호텔 함부르크 (Ruby Lotti Hotel Hamburg),3.82
prizeotel Hamburg-St Pauli,3.83
제너레이터 함부르크 (Generator Hamburg),3.86
a&o 함부르크 시티 (a&o Hamburg City),3.36
마이닝어 호텔 함부르크 시티 센터 (MEININGER Hotel Hamburg City Center),3.0
a&o 함부르크 하우프트반호프 (a&o Hamburg Hauptbahnhof),2.73
더 베네치안 마카오 (The Venetian Macao),3.76
더 파리지안 마카오 (The Parisian Macao),4.1
더 런더너 호텔 (The Londoner Hotel),4.67
JW 메리어트 호텔 마카오 (JW Marriott Hotel Macau),4.55
Sheraton Grand Macao,3.68
Grand Lisboa Palace Macau,4.07
Belive&More,4.2
스튜디오 시티 호텔 (Studio City Hotel),3.78
호텔 로얄 마카오 (Hotel Royal Macau),3.4
리오 호텔 마카오 (Rio Hotel Macau),3.64
힐튼 가든 인 쿠알라 룸푸르 - 노스 (Hilton Garden Inn Kuala Lumpur - North),4.22
Deface Platinum 2 Kuala Lumpur,3.6
디페이스 플래티넘 쿠알라룸푸르 (DeFace Platinum Kuala Lumpur),3.07
데 루나 호텔 스리 페탈링 (De Luna Hotel Sri Petaling),3.33
홀리데이 인 익스프레스 쿠알라 룸푸르 시티 센터 (Holiday Inn Express Kuala Lumpur City Centre),4.0
산타 그랜드 시그니처 쿠알라룸푸르 (Santa Grand Signature Kuala Lumpur),3.75
Park Inn by Radisson Putrajaya,3.07
힐튼 가든 인 쿠알라 룸푸르 - 사우스 (Hilton Garden Inn Kuala Lumpur - South),4.25
Platinum Suites 2 by DM Kuala Lumpur,4.53
힐튼 코타키나발루 (Hilton Kota Kinabalu),3.27
코타 키나발루 메리어트 호텔 (Kota Kinabalu Marriott Hotel),3.8
호라이즌 호텔 코타키나발루 (Horizon Hotel Kota Kinabalu),3.64
사바 오리엔탈 호텔 (Sabah Oriental Hotel),3.31
더 마젤란 수테라 리조트 (The Magellan Sutera Resort),3.4
하얏트 리젠시 키나발루 (Hyatt Regency Kinabalu),3.87
Signel Poshtel,4.73
머큐어 코타키나발루 시티센터 (Mercure Kota Kinabalu City Centre),3.53
모나코 부티크 호텔 사동 자야 (Monaco Boutique Hotel Sadong Jaya),3.5
Jesselton Quay by Pinstay,3.6
Wings by Croske Resort Langkawi ,5.0
"벨라 비스타 워터프런트 리조트, 랑카위 (Bella Vista Waterfront Resort, Langkawi)",2.13
샌디 비치 리조트 바이 카사 로마 (Sandy Beach Resort by Casa Loma),2.0
베스트 스타 리조트 (Best Star Resort),2.92
칠 스위트 랑카위 (Chill Suites Langkawi),4.64
베이뷰 호텔 랑카위 (Bayview Hotel Langkawi),3.0
The RIYAZ Lavanya,5.0
옴박 빌라 랑카위 (Ombak Villa Langkawi),3.5
선셋 베이 코티지 (Sunset Bay Cottage),4.4
세히자우@체낭 (Collection O 90622 Sehijau @ Cenang),3.75
Attic Home Melaka Imperio Residence & Jonker ,4.13
더블트리 바이 힐튼 호텔 말라카 (DoubleTree by Hilton Hotel Melaka),3.47
임페리오 레지던스 씨프런트 바이 퍼펙트 호스트 (Imperio Residence Seafront by Perfect Host),2.75
에코 트리 호텔 (Eco Tree Hotel),3.55
더 스트레이츠 호텔 앤 스위트츠 (The Straits Hotel and Suites),3.54
Imperio Residence with Private Bathtub by Lets Stay,3.12
Imperio Residence Private Bathtub @ Melaka Town,3.6
리비에라 스위트 멜라카 (Riviera Suites Melaka),1.5
미드시티 호텔 멜라카 (Midcity Hotel Melaka),3.0
갈레리아 플라자 레포르마 (Galeria Plaza Reforma),3.8
쉐라톤 멕시코 시티 마리아 이사벨 호텔 (Sheraton Mexico City Maria Isabel Hotel),3.75
카미노 레알 아에로푸에르토 (Camino Real Aeropuerto),5.0
코트야드 멕시코 시티 에어포트 (Courtyard Mexico City Airport),5.0
NH 콜렉션 멕시코 시티 공항 T2 (NH Collection México City Airport T2),3.33
NH 콜렉션 멕시코 시티 레포르마 (NH Collection Mexico City Reforma),3.67
힐튼 가든 인 멕시코 시티 산타 페 (Hilton Garden Inn Mexico City Santa Fe),4.67
Mondrian Mexico City Condesa,4.0
엠포리오 칸쿤 (Emporio Cancun),3.93
크리스탈 캉쿤 (Krystal Cancun),3.57
알로프트 칸쿤 (Aloft Cancun),2.33
TRS 코럴 호텔 - 성인 전용 - 올 인클루시브 (TRS Coral Hotel - Adults Only - All Inclusive),3.73
"Hyatt Ziva Cancun, an All Inclusive Resort",3.4
시크릿 더 바인 칸쿤 리조트 앤 스파 - 올인클루시브 - 성인 전용 (Secrets The Vine Cancun Resort & Spa - All inclusive - Adults only),4.57
InterContinental President Cancun Resort,4.0
호텔 NYX 칸쿤 (Hotel NYX Cancun),3.67
캐노피 바이 힐튼 칸쿤 라 이슬라 (Canopy by Hilton Cancun La Isla),4.0
Kempinski Hotel Cancun,5.0
Eterna Tulum,4.0
알로프트 툴룸 (Aloft Tulum),3.0
그랜드 팔라디움 칸테나 리조트 앤 스파 (올 인클루시브) (Grand Palladium Kantenah Resort and Spa - All Inclusive),4.0
Unico Hotel Riviera Maya - All Inclusive - Adults Only,4.33
The Waves Tulum,4.0
Kore Tulum Retreat Wellness Resort - Adults Only,3.33
Conrad Tulum,3.5
Mayan Monkey Tulum - Adults Only,3.53
프라야 팜스 비치 호텔 (Playa Palms Beach Hotel),3.93
더 파이브스 다운타운 호텔 앤 레지던스 큐리오 컬렉션 바이 힐튼 (The Fives Downtown Hotel and Residences Curio Collection by Hilton),4.5
라 파시온 호텔 부티크 바이 부니크 (La Pasion Hotel Boutique by Bunik),3.5
그랜드 리비에라 프린세스 - 올 인클루시브 (Grand Riviera Princess - All Inclusive),4.0
세레니티 호텔 부티크 (Serenity Hotel Boutique),3.0
호텔 HM 플라야 델 카르멘 (Hotel HM Playa del Carmen),3.75
"더 리프 28 - 성인 전용, 올 스위트, 미식 옵션 올인클루시브 (The Reef 28, Adults Only, All Suites, Optional Gourmet All Inclusive)",3.73
Aloft Playa del Carmen,4.67
Secrets® Moxché Playa del Carmen - All Inclusive - Adults Only,5.0
더 그랜드 힐 호텔 울란바토르 (The Grand Hill Hotel Ulaanbaatar),4.07
졸로 호텔 (Zolo Hotel),1.73
H9 호텔 나인 울란바토르 (H9 Hotel Nine Ulaanbaatar),3.71
칭기스 칸 호텔 (Chinggis Khaan Hotel),4.07
Ramada by Wyndham Ulaanbaatar Citycenter,4.13
Pod 39,3.7
InterContinental New York Times Square,3.62
포드 타임스 스퀘어 (Pod Times Square),4.08
호스텔링 인터내셔널 뉴 욕 (Hostelling International New York),4.03
Indigo NYC Downtown Wall Street,2.0
CLUB QUARTERS HOTEL TIMES SQUARE - MIDTOWN,4.2
더 맨하탄 호텔 앳 타임스 스퀘어 (The Manhattan Hotel at Times Square),2.86
U 호텔 피프스 애비뉴 (U Hotel Fifth Avenue),3.93
웨스트 사이드 YMCA 호스텔 (West Side YMCA Hostel),2.76
HI San Francisco Downtown Hostel,4.03
킴프턴 알톤 호텔 (Kimpton Alton Hotel),5.0
Samesun San Francisco,4.41
로드웨이 인 앤 스위트 샌프란시스코-그레이트 하이웨이 (Rodeway Inn & Suites San Francisco-Great Highway),2.85
샌프란시스코 메리어트 마르키스 (San Francisco Marriott Marquis),3.8
챈슬러 호텔 온 유니온 스퀘어 (Chancellor Hotel on Union Square),4.43
액시엄 호텔 샌프란시스코 (Axiom Hotel San Francisco),4.0
베이 랜딩 호텔 (Bay Landing Hotel),4.05
파크 55 샌프란시스코-힐튼 호텔 (Parc 55 San Francisco-A Hilton Hotel),3.71
킹 조지 호텔 (King George Hotel),3.69
프리핸드 로스앤젤레스 (Freehand Los Angeles),3.43
Moxy Downtown Los Angeles,2.0
Stuart Hotel - Adults Only,1.5
Conrad Los Angeles,5.0
The Biltmore Los Angeles,3.74
The Delphi,2.67
E 센트럴 호텔 다운타운 로스앤젤레스 (E Central Hotel Downtown Los Angeles),3.29
InterContinental - Los Angeles Downtown,4.05
USC 호텔 (USC Hotel),3.67
"Treasure Island Las Vegas - TI Hotel & Casino, a Radisson Hotel",3.82
코트야드 라스베이거스 컨벤션 센터 (Courtyard Las Vegas Convention Center),3.0
플라밍고 라스베이거스 (Flamingo Las Vegas),3.38
골든 게이트 호텔 앤 카지노 (Golden Gate Hotel and Casino),3.33
호스슈 라스베이거스 - 구. 발리스 (Horseshoe Las Vegas “Formerly Bally’s”),3.67
The Cosmopolitan of Las Vegas,4.19
엑스칼리버 호텔 (Excalibur Hotel),3.4
Bellagio Hotel,4.13
플래닛 할리우드 리조트 앤 카지노 (Planet Hollywood Resort & Casino),3.38
Trump International Hotel Las Vegas,4.02
호텔 발미 (Hotel Balmi),3.75
체리 힐스 호텔 (Cherry Hills Hotel),4.0
제말락스 호텔 앤 레지던스 (Zealax Hotel & Residence),3.5
아웨이 메타 양곤 (Awei Metta Yangon),3.0
K.C 레지던스 (K.C Residence),4.33
후드 호스텔 (HOOD Hostel),4.57
에스페라도 레이크뷰 호텔 (Esperado Lake View Hotel),2.75
호텔 프라임 (Hotel Prime),3.57
121 호텔 (121 Hotel),4.5
자스민 팰리스 호텔 (Jasmine Palace Hotel),4.07
오스텔로 벨로 만달레이 (Ostello Bello Mandalay),4.21
E-아웃피팅 골든 컨트리 호텔 (E-outfitting Golden Country Hotel),3.5
로얄 펄 호텔 (Royal Pearl Hotel),4.21
더 홈 호텔 (The Home Hotel),3.8
더 링크 78 만달레이 부티크 호텔 (The Link 78 Mandalay Boutique Hotel),3.5
카웅 민트 호텔 (Kaung Myint Hotel),2.86
호텔 호미 만달레이 (Hotel Homey Mandalay),4.67
79 리빙 호텔 (79 Living Hotel),3.69
드래곤 피닉스 호텔 (Dragon Phoenix Hotel),3.5
호텔 뉴 웨이브 (Hotel New Wave),2.8
로얄 바간 호텔 (Royal Bagan Hotel),3.5
"바간 탄데 호텔, 올드 바간 (Bagan Thande Hotel, Old Bagan)",2.71
오스텔로 벨로 바간 풀 (Ostello Bello Bagan Pool),3.5
마이 바간 레지던스 바이 아마타 (아마타 부티크 하우스) (My Bagan Residence by Amata (Amata Boutique House)),4.0
스카이 뷰 호텔 (Sky View Hotel),3.82
골든 미얀마 게스트하우스 (Golden Myanmar Guest House),4.5
더 호텔 @ 타라바 게이트 (The Hotel @ Tharabar Gate),4.64
시위 나 디 게스트하우스 (Shwe Na Di Guest House ),3.47
서머셋 호치민시티 서비스 레지던스 (Somerset Ho Chi Minh City Serviced Residence),3.95
서머셋 챈슬러 코트 서비스 레지던스 (Somerset Chancellor Court Serviced Residence),4.02
낫 하 로페라 호텔 (Nhat Ha L'Opera Hotel),4.05
Sherwood Residence,4.22
센트럴 팰리스 호텔 (Central Palace Hotel),3.67
LA VELA SAIGON HOTEL,3.75
롯데 호텔 사이공 (Lotte Hotel Saigon),4.03
셔우드 스위트 (Sherwood Suites ),4.28
랭커스터 사이공 서비스 아파트먼트 르 탄 톤 (Lancaster Saigon Serviced Apartments Le Thanh Ton),3.74
Sens House Saigon - Vinhomes Central Park,2.0
그랜드 플라자 하노이 호텔 (Grand Plaza Hanoi Hotel),3.59
포츄나 호텔 하노이 (Fortuna Hotel Hanoi),3.73
하노이 대우 호텔 (Hanoi Daewoo Hotel),3.62
리틀 참 하노이 호스텔 (Little Charm Hanoi Hostel),4.36
파라곤 노이 바이 호텔 앤 풀 (Paragon Noi Bai Hotel and Pool),3.9
Madelise Palace Hotel & Spa,4.67
하노이 대하 서비스 아파트먼트 (Hanoi Daeha Serviced Apartment),3.98
서머셋 그랜드 하노이 서비스 레지던스 (Somerset Grand Hanoi Serviced Residences),4.12
La Siesta Classic Hang Thung,4.85
그랜드 비스타 하노이 (Grand Vista Hanoi),4.3
G8 Luxury Hotel and Spa Da Nang,4.03
Cicilia Hotels & Spa Danang Powered by ASTON,4.15
뉴 오리엔트 호텔 다낭 (New Orient Hotel Da Nang),4.27
오션 빌라 다낭 (Ocean Villas Da Nang),4.31
살라 다낭 비치 호텔 (SALA DANANG BEACH HOTEL),4.08
하이안 비치 호텔 앤 스파 (HAIAN Beach Hotel & Spa),3.77
힐튼 다낭 (Hilton Da Nang),4.22
래디슨 호텔 다낭 (Radisson Hotel Danang),4.5
울랄라니 리조트 앤 콘도텔 (Olalani Resort and Condotel),3.6
스텔라 마리스 비치 다낭 (Stella Maris Beach Danang),4.17
TOC 호스텔 바르셀로나 (TOC Hostel Barcelona),4.05
호텔 바르셀로나 아에로푸에르토 바이 멜리아 (Hotel Barcelona Aeropuerto By Melia),3.67
호스텔 세인트 크리스토퍼스 바르셀로나 (Hostel St Christophers Barcelona),3.64
엑스포 바르셀로나 호텔 (Expo Barcelona Hotel),3.7
InterContinental Barcelona,4.8
호텔 암빗 바르셀로나 (Hotel Ambit Barcelona),4.03
"Radisson Blu 1882 Hotel, Barcelona Sagrada Familia",4.56
The Central House Barcelona Gracia,4.34
호텔 바르셀로나 하우스 (Hotel Barcelona House),3.0
카사 캄페르 바르셀로나 (Casa Camper Barcelona),4.89
톡 호스텔 마드리드 (TOC Hostel Madrid),4.17
The Madrid Edition,5.0
파 홈 아토차 (Far Home Atocha),4.0
더 햇 호스텔 마드리드 (The Hat Hostel Madrid),4.43
멜리아 마드리드 세라노 (Melia Madrid Serrano),4.03
호텔 콰트로 푸에르타 델 솔 (Hotel Quatro Puerta del Sol),3.73
Radisson RED Madrid,3.92
B&B 호텔 마드리드 센트로 푸에르타 델 솔 (B&B Hotel Madrid Centro Puerta del Sol),4.27
호텔 리아베니 (Hotel Liabeny),3.75
easyHotel Madrid Centro Atocha,4.17
톡 호스텔 세비야 (Toc Hostel Sevilla),4.4
Ibis Styles Sevilla Santa Justa,4.38
블랙 스완 호스텔 세비야 (Black Swan Hostel Sevilla),4.25
"Radisson Collection Hotel, Magdalena Plaza Sevilla",3.75
Petit Palace Vargas,4.0
호텔 레이 알폰소 엑스 (Hotel Rey Alfonso X),4.47
포 유 호스텔 세비야 (For You Hostel Sevilla),3.98
세나토르 파르케 센트럴 호텔 (Senator Parque Central Hotel),4.5
호텔 유로스타 레이 돈 하이메 (Hotel Eurostars Rey Don Jaime),4.0
더 리버 호스텔 (The River Hostel),3.5
캐주얼 발렌시아 데 라스 아르테스 (Casual Valencia De Las Artes),1.0
Casual Vintage Valencia,3.53
몬 스위트 카테드랄 (Mon Suites Catedral),4.2
유로스타 악테온 (Eurostars Acteon),4.0
AC 호텔 발렌시아 (AC Hotel Valencia),4.5
호텔 로벡 (Hotel Lovec),3.0
호텔 파크 - 사바 호텔 앤 리조트 (Hotel Park - Sava Hotels & Resorts),4.0
블레드 로즈 호텔 (Bled Rose hotel),4.0
올드 패리시 하우스 (Old Parish House),5.0
비앤비 호텔 류블랴나 파크 (B&B Hotel Ljubljana Park),4.0
시티 호텔 리주발자나 (City Hotel Ljubljana),3.8
Sax Pub Hostel,3.6
"래디슨 블루 플라자 호텔 류블랴나 (Radisson Blu Plaza Hotel, Ljubljana)",3.9
오스트리아 트랜드 호텔 루블랴나 (Austria Trend Hotel Ljubljana),4.0
Intercontinental Ljubljana,4.14
홀리데이 인 익스프레스 류블랴나 (Holiday Inn Express Ljubljana),2.0
ibis Styles Ljubljana The Fuzzy Log,4.5
ibis Styles Ljubljana Centre,4.33
호텔 켐핀스키 팰리스 포르토로즈 (Hotel Kempinski Palace Portoroz),3.82
Hotel Neptun - LifeClass Hotels & Spa,3.95
호텔 피란 (Hotel Piran),4.75
M 호텔 싱가포르 (M Hotel Singapore),3.84
두짓 타니 라구나 싱가포르 (Dusit Thani Laguna Singapore),3.91
콥튼 킹 호텔 싱가포르 온 해블록 (Copthorne King's Hotel Singapore on Havelock),3.29
빌리지 호텔 알버트 코트 바이 파 이스트 호스피탈리티 (Village Hotel Albert Court by Far East Hospitality),3.61
Hotel Boss,3.19
Hotel Bencoolen @ Hong Kong Street,3.82
V Hotel Lavender,3.22
푸라마 리버프런트 (Furama RiverFront),3.31
모우브레이 코트 호텔 (Mowbray Court Hotel),3.61
St. Pancras Renaissance Hotel London,4.0
메리트 켄싱턴 호텔 (Merit Kensington Hotel),3.98
유스턴 스퀘어 호텔 런던 (Euston Square Hotel),4.0
Delta Hotels Heathrow Windsor,3.76
Kabannas London St Pancras,4.15
파크 플라자 런던 파크 로얄 (Park Plaza London Park Royal),5.0
아치 호텔 (Arch Hotel),3.43
나일랜드 호텔 (Nayland Hotel),3.65
프레데릭 하우스 호텔 (Frederick House Hotel),4.12
힐튼 에든버러 칼튼 (Hilton Edinburgh Carlton),3.71
스테이 센트럴 호텔 (Stay Central Hotel),4.2
데스티니 스튜던트 - 무라노 (Destiny Student- Murano),2.5
Edinburgh Holyrood Hotel,1.0
래디슨 블루 호텔 에든버러 시티 센터 (Radisson Blu Hotel Edinburgh City Centre),4.0
Leonardo Royal Hotel Edinburgh,3.92
브리타니아 호텔 에든버러 (Britannia Hotel Edinburgh),3.0
Ten Hill Place,4.38
A&O 에든버러 시티 (A&O Edinburgh City),3.72
더 미트르 호텔 (The Mitre Hotel),5.0
Manchester Piccadilly Hotel,4.0
이비스 스타일 맨체스터 포트랜드 (ibis Styles Manchester Portland),3.67
홀리데이 인 익스프레스 맨체스터 시티 센터 아레나 (Holiday Inn Express Manchester City Centre Arena),3.79
하얏트 하우스 맨체스터 (Hyatt Regency Manchester),5.0
네이티브 맨체스터 (Native Manchester),4.5
래디슨 블루 맨체스터 에어포트 (Radisson Blu Manchester Airport),4.5
브리타니아 맨체스터 호텔 (Britannia Manchester Hotel),3.12
더 타운하우스 맨체스터 (The Townhouse Manchester),4.0
Ibis Budget Manchester Airport,4.0
이비스 캠브리지 호텔 (Ibis Cambridge Hotel),4.2
Hilton Cambridge City Centre,4.0
아룬델 게스트하우스 (Arundel House Hotel),2.4
웨스트 코트 - 지저스 컬리지 (West Court- Jesus College),5.0
Hyatt Centric Cambridge,4.5
Turing Locke,4.25
