year,일본,중국,베트남,태국,필리핀,홍콩,대만,마카오,싱가포르,말레이시아,인도네시아,캄보디아,튀르키예,인도,몽골,미얀마,이스라엘,몰디브,스리랑카,스페인,독일,오스트리아,영국,슬로베니아,러시아,보스니아,핀란드,북마케도니아,세르비아,남아프리카공화국,미국,캐나다,도미니카공화국,자메이카,코스타리카,멕시코,호주,북마리아나(사이판),괌(미국령),뉴질랜드,팔라우,피지
2014,2755313,4181800 ,832969 ,1116493,1175472,1251047,527684,554521,536975,385769,328122,328122,248654,106870,45476,58472,21700,34896,13412,,254332,234557,209952,61702,135676,25654,15769,3364,3110,12846,1473365,183770,1860,425,3922,75090,202820,142081,,55488,14667,5676
2015,4002095,4444400 ,1152349 ,1372989,1339678,1243293,658757,554144,577082,421161,353729,353729,222580,102993,47213,63715,22600,33001,14373,,296900,277032,337039,92021,153189,29973,18835,3704,1845,13561,1775456,204741,1811,426,4167,95454,226780,182622,427900,64992,12360.30769,6700
2016,5090302,4762163 ,1543883 ,1464218,1475081,1392367,884397,662263,566509,444439,343887,343887,106904,111076,57587,64397,28300,29580,14520,312432,318330,273477,316637,112920,161267,41857,22948,2932,3217,18840,1982516,254759,2423,370,4342,92193,280100,228156,544957,82384,12433,8071
2017,7140438,3854869 ,2415245 ,1717867,1607821,1487670,1054380,874253,631363,484528,423191,423191,120622,142383,74921,65829,40300,34808,15963,446069,367172,309199,352012,148014,253764,52056,28038,4415,4359,22173,2334839,301476,2689,390,5191,106718,302210,334767,685228,91168,11895,8871
2018,7538952,4191790 ,3435406 ,1796615,1624251,1421411,1019122,812842,629454,616783,358885,358885,159354,150536,84184,72852,45600,34400,15748,486867,357962,319932,305014,136706,360618,45388,32803,3246,3311,21868,2210597,253236,2865,308,4879,122307,287990,240577,746986,87853,14347,8176
2019,5584597,4346567 ,4290802 ,1890959,1989322,1042540,1242598,743026,645848,673065,388316,388316,207372,149445,101279,111794,60400,37073,12195,630797,342305,324596,301130,139429,431082,41317,28044,2376,2657,19947,2298279,266767,3544,407,4933,120424,280480,123058,753357,88431,11884,6806
2020,487939,,840041 ,260228,338877,39922,178911,44433,89522,119750,75562,75562,36636,32302,5060,19363,17273,5895,2499,121931,61675,36646,56143,10525,34451,1541,4789,195.03,34.04,4222,439286,33861,1777,71.03,1506,35305,53520,8,124181,26383,2702,548
2021,18947,,32500 ,12077,6456,626,3300,22,7126,3028,9497,9497,15206,13330,2312,1080,848,6849,389,37692,28773,4980,5604,2052,,155,2082,96,32,1346,202711,15880,3997,18,858,31311,2060,6783,8002,476,25,51
2022,1012751,,769167 ,538766,428014,8348,51748,1749,217529,146384,121273,121273,99869,,53382,6854,12500,35948,1843,180610,123185,61830,,14372,,2850,10790,389,99,5103,919796,78326,9980,99,2462,61609,72510,74613,193407,14343,227,709
2023,4324376,,2274213 ,1059851,950219,176267,411791,88946,332855,170576,219777,219777,99009,,36050,,30200,21157,4214,,117518,125120,,36605,,7547,15042,582,536,6620,1021537,79762,9079,108,2053,50200,137850,115263,239572,28819,574,1154